Feature,Coefficient
great,7.048069900736083
excellent,6.665305028861747
perfect,5.499945455926731
amazing,4.904039363347587
wonderful,4.789323298189046
hilarious,4.4907837228912
best,4.490385022347189
loved,4.317733471554399
brilliant,4.230250888551471
favorite,4.150331324160272
fun,4.138219953171065
one best,4.135457344921875
enjoyed,3.9712438193019146
today,3.947010849376507
must see,3.810425260885094
superb,3.7905410415130008
enjoyable,3.7578831737334215
definitely,3.5712560352036933
well,3.5135101888422566
fantastic,3.4903359308060664
worst,-9.275400681908934
awful,-7.771135552957871
bad,-7.7391942071174675
waste,-6.999181452432735
boring,-6.400379655437208
poor,-5.842202478884488
terrible,-5.69739946156601
nothing,-5.294434849527724
horrible,-5.0633501109810855
dull,-4.921729922350976
poorly,-4.878804811026437
worse,-4.873560453837492
disappointing,-4.578372106842614
fails,-4.565819918778591
unfortunately,-4.496765526312228
stupid,-4.384365754994326
disappointment,-4.317266568399007
instead,-4.295194655790563
annoying,-4.16256543278621
ridiculous,-4.0794951146034935
